Name	nMAGs	group	pathway_summary	fun	desc
ethene biosynthesis I (plants)	2	biosynthesis	ethene biosynthesis	phytohormone	main pathway for ethylene production (from methionine)
ethylene glycol degradation	3	specialized functions	ethylene glycol degradation	phytohormone	https://pubmed.ncbi.nlm.nih.gov/19132327/
putrescine degradation I	16	specialized functions	putrescine degradation	phytohormone	 putrescine is transaminated with 2-oxoglutarate to generate L-glutamate and 4-aminobutanal, which is then oxidized to 4-aminobutanoate, or GABA. GABA can be further degraded into succinate by the superpathway of 4-aminobutanoate degradation pathway.
putrescine degradation II	2	specialized functions	putrescine degradation	phytohormone	
putrescine degradation IV	2	specialized functions	putrescine degradation	phytohormone	
putrescine degradation V	9	specialized functions	putrescine degradation	phytohormone	
methylsalicylate degradation	8	specialized functions	salycilate degradation	phytohormone	
L-arabinose degradation I	1	monosaccharide metabolism	arabinose	plant	
fructose degradation	3	monosaccharide metabolism	fructose	plant	
D-galactarate degradation I	2	monosaccharide metabolism	galactarate	plant	https://www.frontiersin.org/articles/10.3389/fmicb.2018.02093/full
D-galacturonate degradation I	2	monosaccharide metabolism	galacturonate	plant	https://academic.oup.com/plphys/article/135/3/1221/6112091?login=true
gallate degradation I	2	monosaccharide metabolism	gallate	plant	Plant lignin and tannins are major sources of these compounds, which are degraded by soil microorganisms as part of the terrestrial carbon cycle.
glucose and glucose-1-phosphate degradation	1	monosaccharide metabolism	glucose	plant	
glucose degradation (oxidative)	4	monosaccharide metabolism	glucose	plant	
D-mannose degradation I	1	monosaccharide metabolism	mannose	plant	
D-mannose degradation II	4	monosaccharide metabolism	mannose	plant	https://www.frontiersin.org/articles/10.3389/fenrg.2018.00052/full
N-acetylglucosamine degradation I	3	monosaccharide metabolism	N-acetylglucosamine	plant	
xylitol degradation	3	monosaccharide metabolism	xylitol	plant	
trehalose degradation II (cytosolic)	16	oligo-polysaccharide metabolism	trehalose	plant	https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-015-0342-8
trehalose degradation IV	3	oligo-polysaccharide metabolism	trehalose	plant	
trehalose degradation V	3	oligo-polysaccharide metabolism	trehalose	plant	
trehalose degradation VI (periplasmic)	25	oligo-polysaccharide metabolism	trehalose	plant	
4-coumarate degradation (anaerobic)	7	specialized functions	cumarate degradation	plant	https://www.pnas.org/content/116/25/12558
curcumin degradation	17	specialized functions	curcumin degradation	plant	
glycerol degradation I	3	specialized functions	glycerol degradation	plant	https://apsjournals.apsnet.org/doi/10.1094/PBIOMES-09-19-0055-FI
glycerol degradation V	1	specialized functions	glycerol degradation	plant	
glycerophosphodiester degradation	3	specialized functions	glycerol degradation	plant	
triacylglycerol degradation	1	specialized functions	glycerol degradation	plant	
protocatechuate degradation I (meta-cleavage pathway)	1	specialized functions	lignine degradation	plant	
vanillin and vanillate degradation I	6	specialized functions	lignine degradation	plant	
vanillin and vanillate degradation II	8	specialized functions	lignine degradation	plant	
"oleate &beta;-oxidation"	19	specialized functions	oleate degradation	plant	
glycine betaine biosynthesis I (Gram-negative bacteria)	15	biosynthesis	betaine biosynthesis	stress	
glycine betaine biosynthesis II (Gram-positive bacteria)	30	biosynthesis	betaine biosynthesis	stress	
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	16	biosynthesis	PHA biosynthesis	stress	
glutathione biosynthesis	9	biosynthesis	thiols biosynthesis	stress	ROS
arginine dependent acid resistance	8	specialized functions	acid resistance	stress	
atrazine degradation I (aerobic)	8	specialized functions	atrazine degradation	stress	herbicide 
choline degradation I	15	specialized functions	choline degradation	stress	
choline degradation II	13	specialized functions	choline degradation	stress	
cyanide degradation	21	specialized functions	cyanide detoxification	stress	https://link.springer.com/article/10.1007/BF02706632
superoxide radicals degradation	23	specialized functions	ROS degradation	stress	
L-alanine biosynthesis I	9	amino acid biosynthesis	alanine biosynthesis		
L-alanine biosynthesis II	18	amino acid biosynthesis	alanine biosynthesis		
