group	pathway_summary	pathways from model dataset
amino acid degradation	alanine_degradation	L-alanine degradation I
amino acid degradation	alanine_degradation	L-alanine degradation II (to D-lactate)
amino acid degradation	alanine_degradation	L-alanine degradation IV
amino acid degradation	alanine_degradation	L-alanine degradation V (oxidative Stickland reaction)
amino acid degradation	alanine_degradation	L-alanine degradation VI (reductive Stickland reaction)
amino acid degradation	arginine_degradation	L-arginine degradation I (arginase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation II (AST pathway)
amino acid degradation	arginine_degradation	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation V (arginine deiminase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation VI (arginase 2 pathway)
amino acid degradation	arginine_degradation	L-arginine degradation VII (arginase 3 pathway)
amino acid degradation	arginine_degradation	L-arginine degradation VIII (arginine oxidase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation X (arginine monooxygenase pathway)
amino acid degradation	arginine_degradation	L-arginine degradation XI
amino acid degradation	arginine_degradation	L-arginine degradation XIII (reductive Stickland reaction)
amino acid degradation	arginine_degradation	L-arginine degradation XIV (oxidative Stickland reaction)
amino acid degradation	asparagine_degradation	L-asparagine degradation I
amino acid degradation	aspartate_degradation	L-aspartate degradation I
amino acid degradation	cysteine_degradation	L-cysteine degradation II
amino acid degradation	glutamate_degradation	L-cysteine degradation III
amino acid degradation	glutamate_degradation	L-glutamate degradation I
amino acid degradation	glutamate_degradation	L-glutamate degradation II
amino acid degradation	glutamate_degradation	L-glutamate degradation VI (to pyruvate)
amino acid degradation	glutamate_degradation	L-glutamate degradation V (via hydroxyglutarate)
amino acid degradation	glutamate_degradation	L-glutamate degradation IX (via 4-aminobutanoate)
amino acid degradation	glutamate_degradation	L-glutamate degradation X
amino acid degradation	glutamate_degradation	L-glutamate degradation XI (reductive Stickland reaction)
amino acid degradation	glutamine_degradation	L-glutamine degradation I
amino acid degradation	glutamine_degradation	L-glutamine degradation II
amino acid degradation	glycine_degradation	glycine cleavage
amino acid degradation	glycine_degradation	glycine degradation (reductive Stickland reaction)
amino acid degradation	histidine_degradation	L-histidine degradation I
amino acid degradation	histidine_degradation	L-histidine degradation II
amino acid degradation	histidine_degradation	L-histidine degradation IV
amino acid degradation	isoleucine_degradation	L-isoleucine degradation I
amino acid degradation	isoleucine_degradation	L-isoleucine degradation III (oxidative Stickland reaction)
amino acid degradation	leucine_degradation	L-leucine degradation I
amino acid degradation	leucine_degradation	L-leucine degradation II
amino acid degradation	leucine_degradation	L-leucine degradation IV (reductive Stickland reaction)
amino acid degradation	leucine_degradation	L-leucine degradation V (oxidative Stickland reaction)
amino acid degradation	lysine degradation	L-lysine degradation I
amino acid degradation	lysine degradation	L-lysine degradation IV
amino acid degradation	lysine degradation	L-lysine degradation V
amino acid degradation	lysine degradation	L-lysine degradation VI
amino acid degradation	lysine degradation	L-lysine degradation VIII
amino acid degradation	lysine degradation	L-lysine degradation X
amino acid degradation	methionine_degradation	L-methionine degradation I (to L-homocysteine)
amino acid degradation	methionine_degradation	L-methionine degradation II
amino acid degradation	phenylalanine_degradation	L-phenylalanine degradation II (anaerobic)
amino acid degradation	phenylalanine_degradation	L-phenylalanine degradation I (aerobic)
amino acid degradation	phenylalanine_degradation	L-phenylalanine degradation VI (reductive Stickland reaction)
amino acid degradation	proline_degradation	L-proline degradation I
