V4	late	early	ratio	V5.y	V3.y	counts	Paper Grouping
Aldehyde dehydrogenase (EC 1.2.1.3)	8.39E-07	1.28E-08	65.3679056	Carbohydrates	"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate"	15	pyruvate
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	3.48E-07	6.55E-09	53.14038732	"Fatty Acids, Lipids, and Isoprenoids"	Nonmevalonate Branch of Isoprenoid Biosynthesis	14	biosynthesis
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	1.85E-07	4.41E-09	41.88831554	Carbohydrates	"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate"	14	pyruvate
Aspartate aminotransferase (EC 2.6.1.1)	2.48E-07	3.89E-09	63.71465622	Amino Acids and Derivatives	Threonine and Homoserine Biosynthesis	14	threonine
DNA gyrase subunit A (EC 5.99.1.3)	2.14E-07	4.70E-09	45.54808879	"Virulence, Disease and Defense"	Resistance to fluoroquinolones	14	transcription & maintenance
GTP-binding protein Obg	1.55E-07	1.32E-09	117.8691195	Protein Metabolism	Universal GTPases	14	other
Methionyl-tRNA synthetase (EC 6.1.1.10)	3.75E-08	3.21E-10	116.5575017	Protein Metabolism	"tRNA aminoacylation, Met"	14	transcription & maintenance
Threonine dehydrogenase and related Zn-dependent dehydrogenases	2.00E-06	5.03E-08	39.81432742	Amino Acids and Derivatives	Threonine degradation	14	threonine
"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)"	4.07E-07	7.09E-09	57.4018266	Carbohydrates	Trehalose Biosynthesis	13	biosynthesis
ATP-dependent DNA helicase UvrD/PcrA	8.51E-08	1.12E-09	75.84730476	DNA Metabolism	"DNA repair, bacterial UvrD and related helicases"	13	transcription & maintenance
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	1.20E-07	1.95E-09	61.5739797	Membrane Transport	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	13	other
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	1.28E-07	2.56E-09	49.94828386	Membrane Transport	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	13	other
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.46E-07	3.11E-09	46.99134006	Amino Acids and Derivatives	Serine Biosynthesis	13	other
DNA gyrase subunit B (EC 5.99.1.3)	2.03E-07	5.76E-09	35.33267794	"Virulence, Disease and Defense"	Resistance to fluoroquinolones	13	transcription & maintenance
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	4.58E-08	0	Inf	Cell Wall and Capsule	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	13	other
Methionine aminopeptidase (EC 3.4.11.18)	2.02E-07	4.71E-09	42.80427328	Protein Metabolism	Translation termination factors bacterial	13	other
Peptide chain release factor 2	2.61E-07	6.66E-09	39.15735892	Protein Metabolism	Translation termination factors bacterial	13	other
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	5.30E-07	1.30E-08	40.61967994	Carbohydrates	Unknown carbohydrate utilization ( cluster Ydj )	13	other
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	6.67E-08	1.62E-09	41.26707902	Cell Wall and Capsule	Peptidoglycan Biosynthesis	13	other
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	1.01E-06	2.15E-08	47.14752273	RNA Metabolism	Polyadenylation bacterial	13	transcription & maintenance
Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	2.36E-07	1.36E-09	174.2726926	Respiration	Ubiquinone Menaquinone-cytochrome c reductase complexes	13	other
