contig	start	end	gene_position
k127_10007386_M_bin.111	0	435	1
k127_10007386_M_bin.111	532	919	2
k127_10007386_M_bin.111	899	1610	3
k127_10007386_M_bin.111	1606	2764	4
k127_10007386_M_bin.111	2760	3843	5
k127_10007386_M_bin.111	4002	4902	6
k127_10007386_M_bin.111	4947	5037	7
k127_10007386_M_bin.111	5218	5923	8
k127_10007386_M_bin.111	5919	7530	9
k127_10007386_M_bin.111	7657	7864	10
k127_10007386_M_bin.111	8006	8804	11
k127_10007386_M_bin.111	8800	9193	12
k127_10082029_M_bin.105	1	127	1
k127_10082029_M_bin.105	207	3348	2
k127_10082029_M_bin.105	3403	5338	3
k127_10280600_M_bin.102	2	761	1
k127_10280600_M_bin.102	772	1669	2
k127_10280600_M_bin.102	1713	3240	3
k127_10280600_M_bin.102	3220	4366	4
k127_10280600_M_bin.102	4567	5044	5
k127_10358142_S_bin.80	1	3325	1
k127_10410083_M_bin.8	2	3932	1
k127_10410083_M_bin.8	4138	4735	2
k127_10410083_M_bin.8	4924	5872	3
k127_10522667_M_bin.47	83	1667	1
k127_10522667_M_bin.47	1706	2552	2
k127_10522667_M_bin.47	2618	3842	3
k127_10522667_M_bin.47	3892	5551	4
k127_10522667_M_bin.47	5639	8744	5
k127_10522667_M_bin.47	8968	9646	6
k127_10624019_M_bin.1	1	583	1
k127_10624019_M_bin.1	658	1657	2
k127_10624019_M_bin.1	1694	2231	3
k127_10624019_M_bin.1	2724	3891	4
k127_10624019_M_bin.1	3887	4685	5
k127_10624019_M_bin.1	4671	5886	6
k127_10624019_M_bin.1	5919	6822	7
k127_10624019_M_bin.1	7132	7495	8
k127_10624019_M_bin.1	7563	8022	9
k127_10624019_M_bin.1	8018	8450	10
k127_10624019_M_bin.1	8446	9538	11
k127_10624019_M_bin.1	9571	10324	12
k127_10624019_M_bin.1	10320	11187	13
k127_11197027_S_bin.30	930	1131	3
k127_11197027_S_bin.30	1439	3635	5
k127_11197027_S_bin.30	3662	4862	6
k127_11197027_S_bin.30	5000	6737	7
k127_11197027_S_bin.30	6733	7681	8
k127_11197027_S_bin.30	7681	8863	9
k127_11197027_S_bin.30	8956	9265	10
k127_11197027_S_bin.30	9538	10750	11
k127_11197027_S_bin.30	10765	11656	12
k127_11197027_S_bin.30	11693	12125	13
k127_11197027_S_bin.30	12160	13030	14
k127_11197027_S_bin.30	13128	13638	15
k127_11299331_M_bin.87	1	559	1
k127_11299331_M_bin.87	741	1665	2
k127_11299331_M_bin.87	1742	1877	3
k127_11299331_M_bin.87	1886	2498	4
k127_11349038_M_bin.66	1	2587	1
k127_11349038_M_bin.66	2684	4280	2
k127_11349038_M_bin.66	4344	4851	3
k127_11349038_M_bin.66	4863	5784	4
k127_11349038_M_bin.66	5836	6520	5
k127_11394960_M_bin.111	0	315	1
k127_11394960_M_bin.111	418	1093	2
k127_11394960_M_bin.111	1173	3171	3
k127_11394960_M_bin.111	3210	4515	4
k127_11394960_M_bin.111	4514	4982	5
k127_11725973_M_bin.60	0	639	1
k127_11725973_M_bin.60	680	1487	2
k127_11725973_M_bin.60	1533	2076	3
k127_11725973_M_bin.60	2325	2916	4
k127_11725973_M_bin.60	2950	4669	5
k127_11725973_M_bin.60	4954	6670	6
k127_11725973_M_bin.60	6702	6846	7
k127_11725973_M_bin.60	6885	7188	8
k127_11725973_M_bin.60	7249	7699	9
k127_11725973_M_bin.60	7719	9051	10
k127_11725973_M_bin.60	9090	9702	11
k127_11725973_M_bin.60	9794	11060	12
k127_11725973_M_bin.60	11056	11713	13
k127_11725973_M_bin.60	11709	13503	14
k127_11725973_M_bin.60	13548	14337	15
k127_11725973_M_bin.60	14419	15298	16
k127_11725973_M_bin.60	15357	16647	17
k127_11725973_M_bin.60	16865	17054	18
k127_11725973_M_bin.60	17089	18091	19
k127_11725973_M_bin.60	18151	19552	20
k127_11725973_M_bin.60	19653	20616	21
k127_11996447_S_bin.61	2	2222	1
k127_11996447_S_bin.61	2328	2649	2
k127_11996447_S_bin.61	2834	5612	3
k127_11996447_S_bin.61	5840	6503	4
